DATE,MIXRNSA,CSUSHPINSA,ACTLISCOUFL,ACTLISCOU12086,MEDDAYONMARFL,MEDDAYONMAR12086
1/1/2017,220.4544852,184.63,141533,20306,79,95
2/1/2017,220.5461969,184.997,144279,20813,73,90
3/1/2017,221.0684327,186.507,143564,20858,66,87
4/1/2017,222.2305604,188.522,141596,20691,68,81
5/1/2017,223.9995328,190.517,140728,22463,70,88
6/1/2017,225.0760113,192.243,136241,21264,72,93
7/1/2017,226.3404206,193.487,133862,20168,73,93
8/1/2017,226.6595195,194.32,131602,20505,74,94
9/1/2017,227.913458,194.788,128277,20203,80,102
10/1/2017,227.830642,195.052,129546,20447,81,102
11/1/2017,228.1847595,195.416,131486,20771,80,102
12/1/2017,227.8674337,195.811,132190,21002,73,103
1/1/2018,229.2274083,196.083,133041,20814,75,94
2/1/2018,230.5246468,196.875,136663,21435,71,91
3/1/2018,232.0978427,198.542,138384,21461,63,87
4/1/2018,233.2243476,200.581,137217,21296,66,87
5/1/2018,235.0858638,202.418,135922,21039,67,89
6/1/2018,236.6698674,204.01,134336,20809,70,92
7/1/2018,237.6952497,204.919,134093,20756,72,92
8/1/2018,237.9433805,205.297,133696,20795,73,94
9/1/2018,238.2689482,205.343,135192,21024,73,94
10/1/2018,238.5435485,205.339,139473,21851,72,90
11/1/2018,239.4030215,205.076,145132,22365,71,89
12/1/2018,239.5857119,204.666,147513,22662,73,93
1/1/2019,240.3193859,204.168,150118,22690,79,96
2/1/2019,240.5415525,204.394,155204,23258,74,95
3/1/2019,242.0502194,205.741,152937,22934,72,92
4/1/2019,242.4661615,207.654,148809,22442,71,90
5/1/2019,242.9685452,209.317,143960,22123,73,95
6/1/2019,243.28808,210.551,139464,21591,74,99
7/1/2019,244.1248777,211.302,134961,21182,75,100
8/1/2019,244.9573166,211.66,133296,21065,75,101
9/1/2019,245.7372824,211.839,132054,20876,74,101
10/1/2019,246.5001698,211.934,131568,20894,74,100
11/1/2019,246.9433837,212.074,132130,21224,71,96
12/1/2019,247.1175449,212.205,131014,21095,74,98
1/1/2020,247.3014834,212.363,129170,20463,79,102
2/1/2020,248.6156021,213.181,129210,20608,73,99
3/1/2020,250.4437939,215.157,129064,20504,64,96
4/1/2020,252.1226594,217.204,129972,20051,71,95
5/1/2020,252.7828887,218.452,125101,19747,81,106
6/1/2020,252.9119369,219.778,114937,19281,88,116
7/1/2020,253.9296221,221.533,106592,18608,75,121
8/1/2020,256.6274011,224.012,100556,18116,69,95
9/1/2020,259.5068898,226.762,95404,17914,67,95
10/1/2020,263.2550345,229.77,93553,17748,64,95
11/1/2020,266.5753992,232.273,91402,17514,64,96
12/1/2020,269.9472762,234.321,86812,17260,66,98
1/1/2021,273.4244068,236.394,77534,16051,70,100
2/1/2021,276.2889272,239.175,66242,15098,62,90
3/1/2021,281.5242918,244.173,56290,13610,51,75
4/1/2021,288.1840313,249.783,50741,12406,46,69
5/1/2021,294.9262201,255.407,47360,11434,42,66
6/1/2021,303.9514941,261.126,47829,10845,40,63
7/1/2021,310.925003,265.456,51689,10962,40,61
8/1/2021,318.0571202,268.725,53233,10947,42,62
9/1/2021,324.8687319,271.373,53143,10748,44,65
10/1/2021,331.0631567,273.577,52088,10352,45,66
11/1/2021,337.5942243,275.943,48959,9807,47,67
12/1/2021,343.8958046,278.516,45302,9062,55,68
1/1/2022,350.3482268,281.895,39961,8254,53,73
2/1/2022,358.4719363,287.114,35586,7145,38,65
3/1/2022,371.4962199,294.908,35653,6548,34,50
4/1/2022,383.9445761,301.525,38096,6376,33,50
5/1/2022,394.9349061,306.287,47510,6951,31,44
6/1/2022,404.1475957,308.082,58237,7887,33,45
7/1/2022,409.4029114,306.917,73645,9379,36,49
8/1/2022,408.7953832,303.493,80072,9824,44,56
9/1/2022,404.6579737,300.326,81829,9813,51,65
10/1/2022,400.4611766,298.542,84324,10195,58,69
11/1/2022,399.5850611,296.727,89633,10840,61,71
12/1/2022,398.360871,294.22,89502,10965,64,76
1/1/2023,398.9994256,292.712,87717,10674,69,81
2/1/2023,397.4854887,293.507,86380,10368,64,81
3/1/2023,400.3521488,297.428,83981,9883,54,72
4/1/2023,403.7709416,301.542,82354,9393,55,72
5/1/2023,408.5995868,305.409,80912,9240,55,73
6/1/2023,414.0889864,308.369,81676,9065,56,73
7/1/2023,417.0268821,310.292,83090,8915,58,72
8/1/2023,422.1168136,311.655,84883,9059,57,69
9/1/2023,424.6981153,312.511,90722,9735,56,65
10/1/2023,427.0635706,312.863,99874,10450,55,62
11/1/2023,428.1121037,312.104,109378,11352,56,62
12/1/2023,429.19727,310.922,113490,11855,62,68
1/1/2024,428.6290694,310.786,118163,12122,69,74
2/1/2024,429.1086985,312.709,125963,12722,65,70
3/1/2024,433.107837,316.884,131880,13057,58,64
4/1/2024,436.8238559,320.81,135259,13192,62,67
5/1/2024,439.9552596,323.748,137536,13357,63,68
6/1/2024,442.7225406,325.3,140080,13540,66,71
7/1/2024,444.0171242,325.622,141334,13889,71,74
8/1/2024,443.3481081,325.068,140873,14289,73,75
9/1/2024,441.0501736,324.696,143944,15086,74,74
10/1/2024,440.5083829,324.014,145659,15625,76,73
11/1/2024,441.5522007,323.732,151957,16340,78,75
12/1/2024,443.2262418,323.341,153052,16716,79,81
1/1/2025,442.6986468,323.671,157221,16780,76,84
2/1/2025,441.4561203,325.122,168717,17892,73,79
3/1/2025,440.6936588,327.74,177006,18786,65,71
4/1/2025,442.9221904,329.906,182589,19319,69,73
5/1/2025,442.4088999,331.423,181822,19564,73,79
6/1/2025,441.7443218,331.611,178636,19440,80,87
7/1/2025,438.331334,330.966,174584,19208,86,91
8/1/2025,436.082247,329.865,166558,18841,87,93
9/1/2025,435.6094531,328.971,161916,18458,88,93
10/1/2025,435.9731499,328.558,162079,18594,85,89
11/1/2025,436.9036306,328.353,163076,18712,81,88
